epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.552,1.1563,2.45584,1.25539,1,0.30751,0.85123,0.48095,1.23188,3.21842,1.23136,0.000648649,0.000648649,0.000648649
2,602.332,1.19101,1.93097,1.25723,0.43201,0.51546,0.38346,0.17434,1.41278,3.21455,1.5489,0.0012285,0.0012285,0.0012285
3,884.637,1.303,1.83835,1.34763,0.66209,0.61609,0.60024,0.31706,1.52951,2.75127,1.50841,0.00172036,0.00172036,0.00172036
4,1161.23,1.26498,1.63849,1.33815,0.8178,0.65979,0.74589,0.45511,1.40996,2.49312,1.41384,0.001604,0.001604,0.001604
5,1432.51,1.21877,1.52776,1.28528,0.82891,0.74227,0.82073,0.39428,1.65523,1.82558,1.50914,0.001472,0.001472,0.001472
6,1715.06,1.10501,1.2929,1.22871,0.91828,0.74742,0.84816,0.55856,1.195,1.48619,1.2606,0.00134,0.00134,0.00134
7,1991.87,1.02502,1.1012,1.16092,0.91083,0.82474,0.91485,0.60585,1.10203,1.14196,1.17174,0.001208,0.001208,0.001208
8,2271.48,0.95645,0.98378,1.12922,0.91188,0.86598,0.93495,0.60572,1.23478,1.09436,1.26198,0.001076,0.001076,0.001076
9,2556.89,0.90228,0.91791,1.09824,0.84356,0.88942,0.8892,0.66717,0.90713,1.0796,1.13235,0.000944,0.000944,0.000944
10,2850.21,0.90909,0.84547,1.08313,0.93576,0.84536,0.92478,0.64727,1.05681,0.94613,1.10196,0.000812,0.000812,0.000812
11,3126.78,0.86483,0.7979,1.06223,0.89789,0.88144,0.92856,0.68674,0.97357,0.90022,1.08292,0.00068,0.00068,0.00068
12,3403.33,0.80482,0.73861,1.02243,0.9084,0.88144,0.91786,0.66075,1.01539,0.89097,1.08783,0.000548,0.000548,0.000548
13,3680.54,0.79234,0.68776,1.00055,0.92285,0.89691,0.92714,0.66656,0.97917,0.83008,1.07954,0.000416,0.000416,0.000416
14,3962.87,0.77385,0.65626,0.99048,0.89274,0.90098,0.93651,0.65008,1.05971,0.80381,1.06724,0.000284,0.000284,0.000284
15,4233.34,0.73334,0.60443,0.98042,0.92919,0.87929,0.93389,0.69918,0.95912,0.76381,1.02957,0.000152,0.000152,0.000152
